,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
7,1.917910261672489e-06,0.12746373383289447,-4.78265980080948e-05,-0.001462028670718818,6223.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
30,1.629750834620647e-05,0.1274637329986005,-5.128612144001526e-05,-0.0014620286707187893,5273.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
96,0.007564633275546291,0.12746373297380503,-0.00045263108928557654,-0.0014620286707187878,2567.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
24,9.326033468832218e-06,0.12746373282813375,-4.96881489826789e-05,-0.0014620286707187817,5520.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
11,2.782559402207126e-06,0.12746373278427905,-4.8054150880626025e-05,-0.0014620286707187813,6057.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
97,0.008302175681319761,0.12746373152600143,-0.0004795546352152037,-0.001462028670718739,2526.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
5,1.5922827933410906e-06,0.12746373067790898,-4.7740120904528035e-05,-0.0014620286707187089,6306.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
16,4.430621457583877e-06,0.12746373059288346,-4.8479858367232044e-05,-0.001462028670718707,5850.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
29,1.4849682622544666e-05,0.12746373036700545,-5.096469689808023e-05,-0.0014620286707186967,5314.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
98,0.009111627561154906,0.12746372984534637,-0.0005080880188244114,-0.0014620286707186798,2485.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:33.693110
